Ціна оренди (грн),Ціна оренда (usd),Місто,Район,Мікрорайон,Метро,Вулиця,Номер будинку,Назва ЖК,Загальна площа,Житлова площа,Площа кухні,Поверх,Всього поверхів,Кімнат,Тип стін,Кількість фото,Студія,Спальні місця,Широта,Довгота,Дата,Посилання,Опис,Спокійний район,Тихий двір,Поруч з парком,Новий ремонт,У центрі,Можна з тваринами,Поруч з метро,Кухня-студія,Територія охороняється,Гарний краєвид,Престижний район,Тип пропозиції,Комуналка взимку,Комуналка влітку,Рік побудови,Тварини (опис),Комісія,Тип стіни (опис),Опалення,Підігрів води,Приміщення,Зручності,Розташування,Планування,Ліфт,Агенство
9 000,218,Харків,Шевченківський,,Перемога,вул. Домобудівельна,13,ЖК Архітекторів,40.0,,,9,9,1,кирпич,12,1,,50.07279855,36.20992918,2024-08-19,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-domostroitelnaya-ulitsa-32123925.html,Однокімнатна квартира студія з дизайнерським ремонтом та гарним видом на ліс з девʼятого поверха має все що потрібно для затишного і комфортного проживання!,0,0,0,0,0,0,0,1,0,1,0,Пропозиція від власника,,,2018.0,0,0,цегли,,централізований|бойлер,суміжний санвузол,Wi-Fi|телевізор|обідня зона|пральна машина|душова кабіна|електрочайник|газова плита|електрична плита|шафа-гардероб|Вбудована кухня|диван|холодильник|лічильник на електрику|лічильник на воду|кондиціонер|витяжка|фільтр для води|кабельне ТБ|двоспальне ліжко,тип двору: внутрішній,,пасажирський ліфт,
8 000,193,Харків,Шевченківський,,Наукова,вул. Клочківська,195,,84.0,54.0,9.0,6,16,4,панель,11,0,,50.01613527,36.21427651,2024-08-16,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-klochkovskaya-ulitsa-32106147.html,"Квартира знаходиться в дуже зручному навколоцентральному, необстрілюваному районі, хороша інфраструктура, до центральної площі 12 хв ходьби. Квартира затишна, вікна виходять на дві сторони.  Здається на довгий термін, у квартирі є все необхідне, заходь і живи.
8000 грн +комунальні платежі (світло, вода за лічильниками, газ за одну людину, вивіз сміття та опалення)",1,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,1989.0,0,0,панелей,централізоване,бойлер|комбінований,роздільний санвузол,Wi-Fi|телевізор|пральна машина|ванна|духова шафа|мікрохвильова піч|шафа-гардероб|диван|холодильник|лічильник на електрику|лічильник на воду|кондиціонер|витяжка|письмовий стіл|пилосос|односпальне ліжко|двоспальне ліжко,тип двору: внутрішній,балкон/лоджія,,
7 000,169,Харків,Шевченківський,,,вул. Мирна,19,ЖК River Town,44.0,,12.0,8,12,1,,7,0,,50.01616461,36.20689647,2024-08-18,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-mirnaya-ulitsa-32120062.html,"Здаю 1 к. квартиру від господаря в ЖК River Town, по вулиці Мирна 19, загальною площею 44 кв. м. на 8-му поверсі, 5-7 хв. пішки до Клочковської, 15 хв. загальним транспортом до метро Центральний ринок. Господар, можливий офіційний договір.

7000 грн+застава (можна розбити на 2 місяці)+ комун. послуги. Господар.",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від власника,,,2016.0,0,0,,,,,,тип двору: внутрішній,,,
4 500,109,Харків,Шевченківський,,Перемога,просп. Перемоги,53Б,ЖК Молодежный городок,42.0,17.9,10.5,5,9,1,кирпич,12,0,,50.05736101,36.19462816,2024-08-21,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-pobedy-prospekt-32091425.html,"Сдам 1 квартиру на Олексіївці по пр-ту Перемоги 53Б, 5/9 поверх, 42 м, простора кухня 10, 5 метрів, відмінний житловий стан, є пральна машина, холодильник, мікрохвильова печінка, чайник, бойлер, шафи, ліжко.. Фото відповідають. ГАЗ ! Метро 5 хвилин пішки, поруч з будинком Олексіївський ринок, супермаркет ""Рост"", ""Клас"", ""Чудо"". Ціна 4500+ комунальні, на все встановлені лічильники.",1,0,0,0,0,0,0,0,0,0,0,Пропозиція від власника,2000.0,800.0,2015.0,1,0,цегли,централізоване,централізований|бойлер,суміжний санвузол,обідня зона|пральна машина|ванна|електрочайник|газова плита|духова шафа|мікрохвильова піч|шафа-гардероб|холодильник|лічильник на електрику|лічильник на газ|лічильник на воду|додаткові меблі за домовленістю|витяжка|письмовий стіл|двоспальне ліжко,тип двору: внутрішній,балкон/лоджія,пасажирський ліфт,
2 500,60,Харків,Салтівський,,,вул. Академіків Ахієзерів,18Б,,17.3,10.7,3.7,1,2,1,кирпич,11,0,,49.9862318,36.302292,2024-08-31,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-akademikov-ahiezerov-ulitsa-32179726.html,"Сдам 1к.из.малогабаритную кв. на Старой Салтовке, ул.Ахиезеров 18б( бывшая ул.Халтурина ), рядом ТРЦ Французский бульвар с кучей магазинов, кафе, кинотеатром и др., ост.трамвая и троллейбуса, метро Турбоатом-1 ост., метро пл.Восстания-3 ост., там же Конный рынок, 1\2, сталинка, реконструкция, ж\б, Н=2, 90м, пл.18\11\4, кухня отделена от комнаты, совместный с\узел 3м2, МПО+решётка, бр.входная дверь, новые батареи, проводка, свежие обои и линолеум. Остаётся встр.кухня с вытяжкой и эл.плитой, стенка, диван, стулья, стол, также ост.бойлер, холодильник, стир.машина, ТВ, электрочайник, сушилка, стоят счётчик воды, эл.счётчик. В доме своя котельная, есть счётчик тепла на доме, ОСББ, низкие коммунальные тарифы, уютный двор, возле дома УкрПочта, Кулиничи, милиция.
Цена аренды 2500 грн+недорогая коммуналка.",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,бойлер,,телевізор|сушарка для білизни|електрочайник|диван|холодильник,тип двору: внутрішній,,,Аверс
9 000,218,Харків,Шевченківський,Павлівка,Центральний ринок,вул. Рогатинська Левада,8,,47.0,19.8,13.3,10,16,1,монолитно-кирпичный,19,0,,49.99830519,36.21847795,2024-08-31,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-pavlovka-rogatinskaya-levada-ulitsa-32176767.html,"Сдам 1-комнатную квартиру в новострое ЖК ""Рогатинский"" по ул. Рогатинская Левада, в 5-ти минутах от метро Центральный рынок. Квартира расположена на 10 этаже 16 этажного дома. Общая площадь 47 м2, жилая площадь 16 м2, площадь кухни 17 м2. В квартире выполнен капитальный ремонт.",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,,,,,,,,, Агентство нерухомості КИТ
24 810,600,Харків,Шевченківський,Шатилівка,Наукова,вул. Академіка Ляпунова,16,ЖК Авантаж,127.2,78.3,14.6,8,16,3,кирпич,24,0,4.0,50.018743,36.228117,2024-08-31,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shatilovka-yapnova-lia-26707564.html,"Оренда на тривалий термін. Шатилівка. Шикарна, стильна 3-х кімн. квартира з дизайнерським ремонтом, будинок преміум класу ЖК АВАНТАЖ, вул. Ляпунова, б.16, розташований у центральній частині міста, але при цьому в одному з тихих районів. Поверх 8/16. Загальна площа квартири 127м2. Формат квартири: величезна кухня-вітальня 56 м2 з каміном; дві просторі спальні, господарська спальня з виходом на лоджію; два сан. вузла. Квартира повністю укомплектована меблями та технікою. Паркувальне місце у підземному паркінгу входить у вартість оренди.
Головні переваги ЖК: власна охорона будинку, консьєрж, підземний паркінг, гостьова парковка перед будинком, дитячий майданчик, зона відпочинку.
Інфраструктура поряд: магазини, ресторани, кафе, тренажерний зал, салон краси, Парк Горького, станція метро ""Наукова"" чи ""Ботанічний сад"".",0,0,0,1,0,0,0,0,0,0,0,Пропозиція від посередника,,,2010.0,1,Комісія за послуги 50 %,цегли,централізоване,централізований,засклених лоджій: 1|кількість спалень: 2|гараж: в підвалі / цокольному поверсі|2 санвузла,Wi-Fi|домашній кінотеатр|плазмовий телевізор|камін|пральна машина|посудомийна машина|душова кабіна|джакузі|електрична плита|духова шафа|шафа-гардероб|Вбудована кухня|диван|холодильник|лічильник на електрику|охоронна сигналізація|кондиціонер|витяжка|ліжко|супутникове ТБ,тип двору: внутрішній,кухня-студія,пасажирський ліфт|вантажний ліфт,Метраж
24 810,600,Харків,Шевченківський,Павлове Поле,Ботанічний сад,вул. Отакара Яроша,22,,115.9,67.5,17.5,10,17,3,монолитно-каркасный,25,0,4.0,50.027095,36.224628,2024-08-31,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-pavlovo-pole-akaa-oa-lia-26620769.html,"ОРЕНДА. Павлове Поле. Відмінна 3-х кімнатна квартира 116м2 в будинку преміум класу ЖК ""ІСТОЧНИК"", вул. Отакара Яроша, 22. Поверх 10 з 17. З вікон чудова панорама на місто та Саржин Яр. Якісний ремонт. Квартира повністю мебльована та укомплектована всім необхідним для комфортного життя. Формат: Кухня-їдальня 18м2, 2 спальні, простора вітальня, 2 з/в, величезна лоджія з панорамним виглядом.
Цілодобова охорона, закрита територія комплексу, відеоспостереження, консьєрж. Наземний та підземний паркінг. 1 хвилина до метро Ботанічний сад. Вихід у парк Саржин Яр. 
Поруч: супермаркети, парки, ресторани, аптеки, школи. Два паркомісця у підземному паркінгу входять у вартість оренди.",0,0,0,1,0,0,0,0,0,0,0,Пропозиція від посередника,,,2010.0,0,Комісія за послуги 50 %,,автономна котельня,централізований|бойлер,засклених лоджій: 1|кількість спалень: 3|гараж: немає|2 санвузла,Wi-Fi|домашній кінотеатр|телевізор|праска|пральна машина|посудомийна машина|душова кабіна|ванна|електрична плита|духова шафа|Вбудована кухня|холодильник|лічильник на електрику|лічильник на воду|відеонагляд|кондиціонер|додаткові меблі за домовленістю|витяжка,тип двору: внутрішній,балкон/лоджія,пасажирський ліфт|вантажний ліфт,Метраж
5 500,133,Харків,Шевченківський,338-ий мікрорайон,Перемога,просп. Перемоги,89,ЖК Перемоги,40.0,18.0,9.0,4,9,1,,16,0,2.0,50.07144653,36.21313653,2024-08-30,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-338-oy-mikrorayon-pobedy-prospekt-30246684.html,"Довгострокова оренда  затишної, світлої 1 кімнатної квартири зі свіжим ремонтом в ЖК Перемога на Олексіївці, в безпосередній близькості від лісопаркової зони. До метро Перемога 13 хв. пішки.
Квартира розташована на середньому 4 поверсі, мебльована та обладнана всією необхідною технікою для комфортного життя: холодильник, пральна машина, бойлер, кондиціонер, плита комбінована , витяжка.У квартирі встановлені лічильники на світло, газ, воду та тепло, є можливість регулювання подачі тепла, чим можна заощадити на оплаті за опалення. Велика засклена лоджія.
ЖК ""Перемоги"" - житловий комплекс в спокійному, зеленому районі на Олексіївці. Тут відсутні промислові підприємства . За декілька кроків чиста лісопаркова зона.
У дворі великий дитячий майданчик, поряд зупинка транспорту, садок, школа. У пішій доступності від ЖК знаходяться: гіпермаркети ""Епіцентр"" та ""Караван"", ТЦ METRO, супермаркети ""АТБ"", ""Сільпо"", ""Клас"", великі магазини побутової техніки, ринок, АЗС.
Без тварин!",1,1,0,1,0,0,0,0,0,0,0,Пропозиція від посередника,1500.0,800.0,,0,Комісія за послуги 50 %,,централізоване,бойлер,засклених лоджій: 1|кількість спалень: 1|гараж: немає|суміжний санвузол,Wi-Fi|пральна машина|ванна|газова плита|електрична плита|шафа-гардероб|Вбудована кухня|холодильник|лічильник на електрику|лічильник на газ|лічильник на воду|кондиціонер|витяжка|ліжко|витяжний вентилятор|супутникове ТБ,тип двору: внутрішній,балкон/лоджія,пасажирський ліфт|немає ліфта,"АНПФ ""Харків-Ріелтер"""
4 500,109,Харків,Салтівський,,Героїв праці,вул. Героїв Праці,26,,45.0,30.0,7.0,1,9,2,панель,11,0,,50.02284197028138,36.33696630032304,2024-08-30,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-geroev-truda-ulitsa-32179784.html,"2-кімнатна квартира метро Г.Труда, двір за Компасом. Укомплектована необхідним меблям і технікою, балкон засклений, решітки на вікнах.
Квартира світла і тепла, в хорошому житловому стані.
Оренда 4500грн+комуналка",0,1,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,1989.0,0,Комісія за послуги 50 %,панелей,централізоване,,роздільний санвузол,Wi-Fi|обідня зона|пральна машина|сушарка для білизни|ванна|газова плита|духова шафа|диван|холодильник|витяжка|письмовий стіл|пилосос|кабельне ТБ|односпальне ліжко,тип двору: внутрішній,,пасажирський ліфт,АН Город
